order,stable,retained_hankel_energy,relative_impulse_error,max_magnitude_error_db
2,True,0.9994167083901994,0.004281954055222639,1.9328039754730078
4,True,0.9999899558691002,3.879793490830337e-05,0.17476568359605427
6,True,0.9999984005363147,1.8337912093501574e-05,0.12857773611296164
8,True,1.0,1.1146049819383125e-23,7.566458570806844e-11
