rank,sigma_next,hankelized_tail_error,rational_error,rational_vs_hankelized_error,max_pole_radius,accepted
1,0.1770664740811934,0.04229391527481501,0.05480852537921383,0.03075453958456004,0.8965259909224746,False
2,0.13090534029289896,0.03357850101712343,0.08730517366212932,0.08040197998947408,0.8855508670078043,False
3,0.0032206801377208513,0.00026393574331605825,0.003433283732284173,0.003426135351610725,0.9081643757535075,True
4,4.722557290560912e-08,2.790833688219482e-13,3.3219667889494126e-13,3.996716216660668e-13,0.9099999999997691,True
5,3.540870102406109e-08,2.797216624587615e-13,2.1485287709884048e-13,3.083772076298545e-13,0.9099999999998729,True
6,2.6970405407840507e-08,2.7889939391633177e-13,2.2010700376776472e-13,3.17975497866875e-13,0.9099999999998557,True
