channel,max_abs_error,rms_error,max_abs_reflection
0,4.440892098500626e-15,1.3681475502876853e-15,0.319
1,3.1086244689504383e-15,5.930953607337078e-16,0.297
2,2.6645352591003757e-15,5.219224542396485e-16,0.27499999999999997
3,2.220446049250313e-15,4.652599429417752e-16,0.253
4,2.6645352591003757e-15,5.013500179737548e-16,0.23099999999999998
