rank,sigma_next,unconstrained_svd_error,hankelized_error,tail_relative_error
1,0.2139530380467356,0.21395303804673224,0.1401856076293868,0.04636431001808289
2,0.13427023557838053,0.13427023557837037,0.11835490933240686,0.032485564930353455
3,0.0028544705309138355,0.002854470530918631,0.0007838998250538167,0.00022102949667470747
4,2.0400984246898742e-08,1.6097990161608258e-11,1.163740543192478e-12,4.756384734518214e-13
6,1.6662361846215097e-08,1.609805707712626e-11,1.1639176134159513e-12,4.3144361700372075e-13
