rank,sigma_next,hankelized_tail_error,rational_error,rational_vs_hankelized_error,max_pole_radius,accepted
1,0.5728769997261988,0.2063386279968422,0.23938237000419882,0.10384253252953893,0.7858939894358445,False
2,0.0673681681799698,0.010716117050948907,0.0351893772030594,0.03038006876259755,0.7331121992878625,False
3,1.7490877629741535e-08,5.345749245696302e-15,5.4663663310745536e-15,2.8697193901299334e-15,0.7599999999999969,True
4,7.941938410189033e-09,5.444065707100216e-15,5.252837053441844e-15,1.534194738676893e-15,0.7600000000000002,True
5,5.996796386532229e-09,5.452046380659377e-15,5.2645389843220154e-15,1.5246151826215268e-15,0.7599999999999996,True
