rank,sigma_next,hankelized_tail_error,rational_error,rational_vs_hankelized_error,max_pole_radius,accepted
1,0.6226134898979895,0.20624822743306767,0.3697161269084569,0.1905774175685766,0.34265205702117524,False
2,0.15272599511082588,0.05353345059409605,0.14695513894570372,0.1235605740759487,0.8920477426998619,False
3,0.004780090489217944,0.0008623945996053647,0.0028030022258640976,0.0020713116846297766,0.7526830906909638,True
4,0.0035004278425594957,0.00043886683139051453,0.002827233320595029,0.002720662875411437,0.7387257828808946,True
5,0.0003288760338363174,4.4213638980509934e-05,0.0003492922156750638,0.00033619280705103215,0.7666157192838612,True
6,0.00012183578601698921,1.3061064733040027e-05,0.0007261583688080655,0.0007258322351951131,0.7829081043504196,True
8,2.2091870465785413e-09,1.9864045744310366e-12,6.4533394353660955e-12,6.791255921818149e-12,0.8299999985592396,True
