order,stable,state_radius,retained_hankel_energy,relative_markov_error,relative_output_error,output_snr_db,max_channel_markov_error
2,True,0.771123114292507,0.845267087913305,0.14557943452551309,0.1473327715401663,8.317006413715044,2.198209723474242
4,True,0.8337678457470721,0.9494725235986889,0.052202745416796974,0.052752365355993716,12.777580623236373,0.8552659991355545
6,True,0.8562200269446656,0.9971840614264031,0.003629735316306805,0.003586196348356347,24.453659360027117,0.08695572018946762
8,True,0.880855659893985,0.9999001087532735,0.0001588694156376697,0.0001578514449770621,38.017514382083036,0.0023727675672013896
