rank,sigma_next,finite_nehari_tail_relative_error,rational_vs_original_relative_error,rational_vs_hankelized_relative_error,max_pole_radius
2,0.13090534029289896,0.03357850101712343,0.08730517366212932,0.08040197998947408,0.8855508670078043
3,0.0032206801377208513,0.00026393574331605825,0.003433283732284173,0.003426135351610725,0.9081643757535075
4,4.722557290560912e-08,2.790833688219482e-13,3.3219667889494126e-13,3.996716216660668e-13,0.9099999999997691
