frequency_cycles_per_sample,periodogram_db,capon_db,ar_db
0.0,-24.932736270658054,-14.017710350631434,-19.41457234953012
0.000244140625,-24.737544184417793,-14.017632580689732,-19.41495121809503
0.00048828125,-24.214024692991096,-14.017399274505536,-19.41608720832334
0.000732421875,-23.50065382425392,-14.017010443118476,-19.41797847568523
0.0009765625,-22.731487574570096,-14.016466105317393,-19.420621952183822
0.001220703125,-21.997895431388596,-14.015766288223714,-19.4240133556428
0.00146484375,-21.350722272324255,-14.014911028106631,-19.428147202626363
0.001708984375,-20.81447751594862,-14.013900371428498,-19.433016824909714
0.001953125,-20.399312237522487,-14.012734376118424,-19.438614389396754
0.002197265625,-20.10843583466186,-14.011413113071619,-19.44493092136072
0.00244140625,-19.94220242084055,-14.00993666787162,-19.451956330864284
0.002685546875,-19.900267103526033,-14.008305142731999,-19.459679442197682
0.0029296875,-19.982726849894007,-14.006518658653855,-19.46808802615747
0.003173828125,-20.190759432082494,-14.004577357794876,-19.47716883497383
0.00341796875,-20.52703201807467,-14.002481406045318,-19.48690763968227
0.003662109375,-20.996013148947675,-14.0002309958059,-19.497289269724803
0.00390625,-21.604228641898466,-13.997826348962121,-19.50829765455775
0.004150390625,-22.360394519122497,-13.99526772004914,-19.51991586703649
0.00439453125,-23.275143788257736,-13.992555399600937,-19.532126168343872
0.004638671875,-24.3595173638294,-13.989689717677056,-19.544910054226307
0.0048828125,-25.619939981151486,-13.986671047559858,-19.55824830230198
0.005126953125,-27.043694957592933,-13.98349980961479,-19.572121020206648
0.00537109375,-28.561217198455935,-13.980176475305818,-19.58650769434687
0.005615234375,-29.96871487921721,-13.976701571357726,-19.601387239035027
0.005859375,-30.866196685473987,-13.973075684056692,-19.61673804578779
0.006103515625,-30.870011215605256,-13.969299463680095,-19.632538032577656
0.00634765625,-30.057571176006487,-13.965373629046137,-19.648764692836796
0.006591796875,-28.85807843710873,-13.961298972173585,-19.66539514402277
0.0068359375,-27.609518066612374,-13.957076363041402,-19.682406175567444
0.007080078125,-26.45902321540539,-13.952706754437846,-19.699774296042538
0.00732421875,-25.446719664396046,-13.948191186888131,-19.71747577938792
0.007568359375,-24.57109404558938,-13.943530793649433,-19.73548671006237
0.0078125,-23.817912466293166,-13.938726805761627,-19.753783026989723
0.008056640625,-23.17096994855797,-13.933780557141866,-19.77234056618725
0.00830078125,-22.615674686525317,-13.928693489710582,-19.791135101976632
0.008544921875,-22.139995249313806,-13.923467158536356,-19.810142386691545
0.0087890625,-21.7344726121416,-13.918103236986559,-19.829338188809064
0.009033203125,-21.39192529750264,-13.912603521870386,-19.848698329445153
0.00927734375,-21.10708081528713,-13.90696993856055,-19.8681987171669
