rank,sigma_next,hankelized_tail_error,rational_error,max_pole_radius,accepted
2,0.1638719896220292,0.023794854190461956,0.04897718555180831,0.8930616520346699,False
3,0.005623844805331128,0.0004699236804722963,0.0038626597290281456,0.9073698392145516,True
4,0.0009784588719705153,7.273067748102113e-05,0.003097152492817239,0.9080185254775731,True
5,1.6442043450454768e-05,7.337273141249596e-07,2.8153676752841825e-05,0.9099670702926705,True
6,1.6720506867098366e-07,7.504156445784616e-09,5.22414409312735e-07,0.9100007772549435,True
8,4.153627697156183e-08,2.4598173330171365e-09,2.3914904593187386e-09,0.9100000017246095,True
selected,0.005623844805331128,0.003862659729028764,0.0038626597290281456,0.9073698392145516,True
